"Date","Price","Open","High","Low","Vol.","Change %"
"21/10/2025","32.200","31.435","32.270","31.435","4.45K","1.45%"
"20/10/2025","31.739","31.775","31.775","31.590","1.69K","-0.24%"
"17/10/2025","31.816","32.195","32.315","31.840","2.18K","-1.74%"
"16/10/2025","32.378","32.265","32.650","32.165","3.79K","1.73%"
"15/10/2025","31.826","31.750","31.850","31.440","1.44K","0.08%"
"14/10/2025","31.801","31.460","31.860","31.460","2.53K","1.04%"
"13/10/2025","31.475","31.825","31.845","31.345","","-2.16%"
"10/10/2025","32.170","32.080","32.185","31.880","3.17K","-0.60%"
"09/10/2025","32.363","32.195","32.520","32.065","2.78K","-1.03%"
"08/10/2025","32.700","33.570","33.570","32.645","3.17K","-1.64%"
"07/10/2025","33.246","33.500","33.625","33.040","4.23K","0.39%"
"06/10/2025","33.116","32.450","33.215","32.425","3.24K","5.34%"
"03/10/2025","31.438","31.105","31.625","30.970","3.86K","-0.05%"
"02/10/2025","31.455","31.445","31.475","31.055","4.05K","0.38%"
"01/10/2025","31.335","31.275","31.385","30.790","2.93K","-0.24%"
"30/09/2025","31.411","32.255","32.255","31.430","3.97K","-2.02%"
"29/09/2025","32.060","32.280","32.280","32.100","0.06K","-1.95%"
"26/09/2025","32.697","32.655","32.710","32.525","0.38K","0.74%"
"25/09/2025","32.456","32.405","32.565","32.350","0.08K","1.73%"
"24/09/2025","31.903","32.160","32.390","32.000","0.08K","-1.12%"
"23/09/2025","32.265","32.030","32.700","31.990","0.33K","1.32%"
"22/09/2025","31.844","32.100","32.200","31.765","0.19K","-1.44%"
"19/09/2025","32.308","32.660","32.965","32.170","2.11K","-1.95%"
"18/09/2025","32.952","32.555","33.035","32.545","2.38K","1.70%"
"17/09/2025","32.401","32.605","32.760","32.335","1.86K","0.22%"
"16/09/2025","32.329","31.910","32.450","31.910","5.07K","0.54%"
"15/09/2025","32.154","32.200","32.400","32.000","2.55K","-1.56%"
"12/09/2025","32.662","32.395","32.800","32.065","2.76K","1.05%"
"11/09/2025","32.323","32.510","32.590","32.310","3.10K","-2.41%"
"10/09/2025","33.122","33.240","33.420","33.005","3.91K","0.58%"
"09/09/2025","32.931","33.085","33.110","32.225","3.51K","-0.40%"
"08/09/2025","33.064","32.200","33.120","32.200","3.50K","3.43%"
"05/09/2025","31.969","32.520","32.705","31.910","6.17K","-1.37%"
"04/09/2025","32.412","31.840","32.605","31.840","6.65K","0.93%"
"03/09/2025","32.112","31.525","32.360","31.420","3.59K","1.07%"
"02/09/2025","31.772","32.200","32.625","31.665","4.13K","-1.56%"
